id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,combined,predicted_emotion,predicted_intensity,suggested_action,when_to_do
10001,woke up feeling more organized mentally. i was more tired than i thought.,cafe,4,8.5,3,1,night,mixed,happy_face,vague,woke up feeling more organized mentally. i was more tired than i thought. cafe night mixed happy_face vague,focused,2.91,Stay mindful,Flexible
10002,started off distracted most of the time. this was better than yesterday.,mountain,4,8.5,1,2,afternoon,mixed,happy_face,clear,started off distracted most of the time. this was better than yesterday. mountain afternoon mixed happy_face clear,restless,3.49,Stay mindful,Flexible
10003,kinda calm ...,cafe,15,8.5,2,5,evening,calm,happy_face,vague,kinda calm ... cafe evening calm happy_face vague,focused,3.08,Stay mindful,Flexible
10004,after the session i felt able to think straight. my breathing slowed for a moment.,ocean,7,7.0,2,3,morning,overwhelmed,none,clear,after the session i felt able to think straight. my breathing slowed for a moment. ocean morning overwhelmed none clear,focused,3.16,Stay mindful,Flexible
10005,lowkey felt pretty grounded. i had to restart once. ...,ocean,20,8.5,1,5,afternoon,calm,tired_face,vague,lowkey felt pretty grounded. i had to restart once. ... ocean afternoon calm tired_face vague,neutral,3.16,Stay mindful,Flexible
10006,"today i was a little better and a little off, but sleep probably affected it.",rain,4,3.5,4,2,morning,neutral,tired_face,clear,"today i was a little better and a little off, but sleep probably affected it. rain morning neutral tired_face clear",mixed,3.35,Stay mindful,Flexible
10007,lowkey felt unable to stay with one thought. mountain visuals made it easier to pause.,rain,25,8.0,2,3,night,calm,neutral_face,clear,lowkey felt unable to stay with one thought. mountain visuals made it easier to pause. rain night calm neutral_face clear,restless,3.54,Stay mindful,Flexible
10008,ended up like everything piled up. then my mind wandered again. then it faded again.,forest,10,8.5,2,4,afternoon,mixed,,clear,ended up like everything piled up. then my mind wandered again. then it faded again. forest afternoon mixed  clear,overwhelmed,3.13,Stay mindful,Flexible
10009,"for a while i was itchy in my head, but ocean audio was nice.",rain,4,8.5,4,4,evening,overwhelmed,tense_face,conflicted,"for a while i was itchy in my head, but ocean audio was nice. rain evening overwhelmed tense_face conflicted",restless,2.94,Stay mindful,Flexible
10010,for a while i was more tired than i expected. the rain helped a little. after that i could continue.,forest,12,3.5,4,2,night,neutral,,clear,for a while i was more tired than i expected. the rain helped a little. after that i could continue. forest night neutral  clear,overwhelmed,3.3,Stay mindful,Flexible
10011,"started off like everything piled up, but forest sounds worked for a bit. ...",ocean,30,5.0,2,3,morning,neutral,calm_face,clear,"started off like everything piled up, but forest sounds worked for a bit. ... ocean morning neutral calm_face clear",overwhelmed,2.95,Stay mindful,Flexible
10012,ok session,rain,20,7.0,2,3,afternoon,neutral,calm_face,conflicted,ok session rain afternoon neutral calm_face conflicted,mixed,2.43,Stay mindful,Flexible
10013,actually helped,ocean,25,7.0,4,3,afternoon,mixed,none,clear,actually helped ocean afternoon mixed none clear,neutral,3.45,Stay mindful,Flexible
10014,woke up feeling actually able to focus. then my mind wandered again. still not fully there though. ...,mountain,4,5.0,2,4,afternoon,restless,happy_face,vague,woke up feeling actually able to focus. then my mind wandered again. still not fully there though. ... mountain afternoon restless happy_face vague,focused,3.23,Stay mindful,Flexible
10015,started off surprisingly okay. i couldn't tell if it was helping at first.,cafe,20,4.0,4,1,morning,mixed,tired_face,clear,started off surprisingly okay. i couldn't tell if it was helping at first. cafe morning mixed tired_face clear,calm,3.27,Stay mindful,Flexible
10016,"lowkey felt just normal, but it took time to click.",cafe,35,6.0,4,2,evening,,,vague,"lowkey felt just normal, but it took time to click. cafe evening   vague",neutral,4.24,Stay mindful,Flexible
10017,by the end i was split between calm and tension. cafe ambience weirdly helped. after that i could continue.,mountain,35,8.0,1,2,morning,focused,neutral_face,conflicted,by the end i was split between calm and tension. cafe ambience weirdly helped. after that i could continue. mountain morning focused neutral_face conflicted,mixed,3.64,Stay mindful,Flexible
10018,"not gonna lie i felt calmer on the surface but still busy underneath, but this was better than yesterday. ...",ocean,30,5.0,3,5,evening,focused,calm_face,clear,"not gonna lie i felt calmer on the surface but still busy underneath, but this was better than yesterday. ... ocean evening focused calm_face clear",mixed,2.69,Stay mindful,Flexible
10019,"started off ready to start work, but teh rain helped a little.",ocean,30,7.0,4,1,afternoon,focused,calm_face,vague,"started off ready to start work, but teh rain helped a little. ocean afternoon focused calm_face vague",focused,2.48,Stay mindful,Flexible
10020,still off,forest,7,8.5,1,2,evening,overwhelmed,calm_face,conflicted,still off forest evening overwhelmed calm_face conflicted,calm,3.31,Stay mindful,Flexible
10021,somehow i felt mentally flooded. i couldn't tell if it was helping at first. still not fully there though.,ocean,7,7.0,1,5,evening,neutral,calm_face,clear,somehow i felt mentally flooded. i couldn't tell if it was helping at first. still not fully there though. ocean evening neutral calm_face clear,overwhelmed,2.87,Stay mindful,Flexible
10022,woke up feeling less tense. i stayed with it anyway.,rain,7,7.0,5,1,morning,calm,happy_face,vague,woke up feeling less tense. i stayed with it anyway. rain morning calm happy_face vague,calm,2.68,Stay mindful,Flexible
10023,today i was mostly the same. the rain helped a little. that part surprised me.,rain,25,6.0,1,4,night,,none,conflicted,today i was mostly the same. the rain helped a little. that part surprised me. rain night  none conflicted,neutral,2.46,Stay mindful,Flexible
10024,not gonna lie i felt okay overall. this was better than yesterday.,forest,12,8.0,2,4,evening,mixed,happy_face,vague,not gonna lie i felt okay overall. this was better than yesterday. forest evening mixed happy_face vague,neutral,3.1,Stay mindful,Flexible
10025,ok session,ocean,20,7.0,1,4,morning,calm,tired_face,conflicted,ok session ocean morning calm tired_face conflicted,overwhelmed,3.34,Stay mindful,Flexible
10026,"by the end i was unable to come down from the day, but i kept thinking about emails.",rain,10,7.0,3,3,morning,focused,happy_face,clear,"by the end i was unable to come down from the day, but i kept thinking about emails. rain morning focused happy_face clear",overwhelmed,2.87,Stay mindful,Flexible
10027,for a while i was in between. i stayed with it anyway.,cafe,7,3.5,2,1,evening,calm,neutral_face,conflicted,for a while i was in between. i stayed with it anyway. cafe evening calm neutral_face conflicted,mixed,3.73,Stay mindful,Flexible
10028,somehow i felt in between. i had to restart once.,cafe,20,3.5,2,1,afternoon,calm,calm_face,clear,somehow i felt in between. i had to restart once. cafe afternoon calm calm_face clear,mixed,3.2,Stay mindful,Flexible
10029,honestly i felt mentally flooded. i couldn't tell if it was helping at first.,rain,4,5.0,4,5,afternoon,neutral,happy_face,vague,honestly i felt mentally flooded. i couldn't tell if it was helping at first. rain afternoon neutral happy_face vague,overwhelmed,2.37,Stay mindful,Flexible
10030,"honestly i felt more settled, but i couldn't tell if it was helping at first.",rain,10,8.5,1,2,night,focused,neutral_face,conflicted,"honestly i felt more settled, but i couldn't tell if it was helping at first. rain night focused neutral_face conflicted",calm,2.96,Stay mindful,Flexible
10031,today i was able to prioritize. sleep probably affected it. that part surprised me. ...,ocean,12,8.5,1,2,morning,calm,,vague,today i was able to prioritize. sleep probably affected it. that part surprised me. ... ocean morning calm  vague,focused,3.34,Stay mindful,Flexible
10032,"lowkey felt kind of jumpy, but then my mind wandered again.",cafe,4,7.0,5,4,evening,calm,happy_face,vague,"lowkey felt kind of jumpy, but then my mind wandered again. cafe evening calm happy_face vague",neutral,3.06,Stay mindful,Flexible
10033,"ended up unable to come down from the day, but i stayed with it anyway.",forest,10,8.5,2,4,morning,restless,,vague,"ended up unable to come down from the day, but i stayed with it anyway. forest morning restless  vague",overwhelmed,2.24,Stay mindful,Flexible
10034,"woke up feeling kind of blank, but ocean audio was nice.",rain,12,7.0,1,4,night,focused,,clear,"woke up feeling kind of blank, but ocean audio was nice. rain night focused  clear",neutral,2.95,Stay mindful,Flexible
10035,woke up feeling able to prioritize. mountain visuals made it easier to pause.,mountain,4,8.5,4,1,morning,restless,neutral_face,clear,woke up feeling able to prioritize. mountain visuals made it easier to pause. mountain morning restless neutral_face clear,focused,3.31,Stay mindful,Flexible
10036,honestly i felt all over the place. i kept thinking about emails.,ocean,18,6.0,3,5,morning,mixed,tense_face,clear,honestly i felt all over the place. i kept thinking about emails. ocean morning mixed tense_face clear,restless,3.2,Stay mindful,Flexible
10037,not much change,rain,10,8.5,3,5,morning,neutral,tense_face,vague,not much change rain morning neutral tense_face vague,calm,2.76,Stay mindful,Flexible
10038,"after the session i felt ready to start work, but i was more tired than i thought.",forest,7,8.0,4,2,night,neutral,happy_face,clear,"after the session i felt ready to start work, but i was more tired than i thought. forest night neutral happy_face clear",focused,3.17,Stay mindful,Flexible
10039,for a while i was not bad but not clear either. i had to restart once.,mountain,5,7.0,1,5,evening,overwhelmed,,vague,for a while i was not bad but not clear either. i had to restart once. mountain evening overwhelmed  vague,mixed,2.69,Stay mindful,Flexible
10040,by the end i was half relaxed half distracted. i couldn't tell if it was helping at first.,cafe,18,4.0,2,1,evening,overwhelmed,calm_face,vague,by the end i was half relaxed half distracted. i couldn't tell if it was helping at first. cafe evening overwhelmed calm_face vague,mixed,2.6,Stay mindful,Flexible
10041,woke up feeling still carrying too much. this was better than yesterday.,ocean,20,3.5,5,2,morning,overwhelmed,,vague,woke up feeling still carrying too much. this was better than yesterday. ocean morning overwhelmed  vague,overwhelmed,2.99,Stay mindful,Flexible
10042,by the end i was pretty grounded. i stayed with it anyway. then it faded again.,ocean,12,7.0,1,1,afternoon,neutral,calm_face,conflicted,by the end i was pretty grounded. i stayed with it anyway. then it faded again. ocean afternoon neutral calm_face conflicted,neutral,3.32,Stay mindful,Flexible
10043,bit restless,ocean,10,5.0,5,1,night,neutral,,vague,bit restless ocean night neutral  vague,restless,1.85,Stay mindful,Flexible
10044,fine i guess,rain,15,5.0,4,1,evening,,,vague,fine i guess rain evening   vague,calm,2.87,Stay mindful,Flexible
10045,not gonna lie i felt still mentally busy. it took time to click. that part surprised me.,forest,4,8.5,1,1,morning,restless,tired_face,conflicted,not gonna lie i felt still mentally busy. it took time to click. that part surprised me. forest morning restless tired_face conflicted,restless,3.57,Stay mindful,Flexible
10046,"kind of felt able to think straight, but the rain helped a little.",forest,5,6.0,4,1,night,mixed,neutral_face,clear,"kind of felt able to think straight, but the rain helped a little. forest night mixed neutral_face clear",focused,2.35,Stay mindful,Flexible
10047,not gonna lie i felt more organized mentally. this was better than yesterday.,ocean,25,5.0,5,2,morning,calm,,clear,not gonna lie i felt more organized mentally. this was better than yesterday. ocean morning calm  clear,focused,3.47,Stay mindful,Flexible
10048,after the session i felt more at ease. i was more tired than i thought. that part surprised me.,forest,15,5.0,5,3,afternoon,overwhelmed,,vague,after the session i felt more at ease. i was more tired than i thought. that part surprised me. forest afternoon overwhelmed  vague,calm,3.51,Stay mindful,Flexible
10049,started off still mentally busy. cafe ambience weirdly helped. ...,ocean,18,3.5,3,2,night,restless,happy_face,clear,started off still mentally busy. cafe ambience weirdly helped. ... ocean night restless happy_face clear,restless,3.25,Stay mindful,Flexible
10050,"ended up restless even after, but i kept thinking about emails.",rain,20,3.5,5,5,evening,,neutral_face,vague,"ended up restless even after, but i kept thinking about emails. rain evening  neutral_face vague",restless,2.8,Stay mindful,Flexible
10051,"after the session i felt less wound up, but then my mind wandered again.",cafe,4,7.0,4,1,afternoon,mixed,,conflicted,"after the session i felt less wound up, but then my mind wandered again. cafe afternoon mixed  conflicted",calm,2.87,Stay mindful,Flexible
10052,"lowkey felt unable to settle, but my breathing slowed for a moment.",ocean,7,3.5,4,2,morning,neutral,neutral_face,clear,"lowkey felt unable to settle, but my breathing slowed for a moment. ocean morning neutral neutral_face clear",calm,2.99,Stay mindful,Flexible
10053,not gonna lie i felt less tense. this was better than yesterday.,forest,12,8.5,1,1,morning,overwhelmed,neutral_face,conflicted,not gonna lie i felt less tense. this was better than yesterday. forest morning overwhelmed neutral_face conflicted,calm,3.82,Stay mindful,Flexible
10054,not gonna lie i felt mentally flooded. i couldn't tell if it was helping at first.,cafe,30,8.5,5,2,afternoon,restless,happy_face,conflicted,not gonna lie i felt mentally flooded. i couldn't tell if it was helping at first. cafe afternoon restless happy_face conflicted,overwhelmed,3.83,Stay mindful,Flexible
10055,after the session i felt split between calm and tension. this was better than yesterday.,mountain,30,5.0,5,3,night,,tense_face,conflicted,after the session i felt split between calm and tension. this was better than yesterday. mountain night  tense_face conflicted,mixed,3.87,Stay mindful,Flexible
10056,honestly i felt clearer than earlier. forest sounds worked for a bit.,ocean,15,5.0,5,3,night,neutral,none,vague,honestly i felt clearer than earlier. forest sounds worked for a bit. ocean night neutral none vague,focused,2.76,Stay mindful,Flexible
10057,not gonna lie i felt heavy in the chest. it took time to click.,mountain,15,3.5,1,2,afternoon,calm,none,vague,not gonna lie i felt heavy in the chest. it took time to click. mountain afternoon calm none vague,overwhelmed,3.82,Stay mindful,Flexible
10058,started off like everything piled up. cafe ambience weirdly helped. ...,ocean,5,4.0,4,1,afternoon,overwhelmed,tired_face,conflicted,started off like everything piled up. cafe ambience weirdly helped. ... ocean afternoon overwhelmed tired_face conflicted,overwhelmed,3.43,Stay mindful,Flexible
10059,woke up feeling a little better and a little off. i couldn't tell if it was helping at first.,rain,35,7.0,5,4,night,neutral,tense_face,conflicted,woke up feeling a little better and a little off. i couldn't tell if it was helping at first. rain night neutral tense_face conflicted,mixed,3.6,Stay mindful,Flexible
10060,mind racing,ocean,35,8.5,2,2,night,calm,tired_face,clear,mind racing ocean night calm tired_face clear,focused,3.14,Stay mindful,Flexible
10061,lowkey felt pretty even. my breathing slowed for a moment.,mountain,12,8.5,5,3,night,restless,,vague,lowkey felt pretty even. my breathing slowed for a moment. mountain night restless  vague,calm,2.85,Stay mindful,Flexible
10062,"by the end i was more at ease, but i stayed with it anyway.",forest,30,4.0,4,4,night,restless,tense_face,clear,"by the end i was more at ease, but i stayed with it anyway. forest night restless tense_face clear",calm,3.02,Stay mindful,Flexible
10063,by the end i was distracted most of the time. then my mind wandered again.,forest,4,8.0,2,1,afternoon,overwhelmed,tense_face,clear,by the end i was distracted most of the time. then my mind wandered again. forest afternoon overwhelmed tense_face clear,restless,3.59,Stay mindful,Flexible
10064,started off mostly the same. sleep probably affected it.,forest,4,3.5,2,1,morning,,tired_face,conflicted,started off mostly the same. sleep probably affected it. forest morning  tired_face conflicted,neutral,2.49,Stay mindful,Flexible
10065,"kind of felt steady but nothing major, but it took time to click.",cafe,18,7.0,5,2,morning,neutral,tense_face,clear,"kind of felt steady but nothing major, but it took time to click. cafe morning neutral tense_face clear",neutral,3.95,Stay mindful,Flexible
10066,lowkey felt unable to settle. this was better than yesterday.,rain,10,4.0,2,1,evening,mixed,tense_face,vague,lowkey felt unable to settle. this was better than yesterday. rain evening mixed tense_face vague,restless,2.52,Stay mindful,Flexible
10067,not gonna lie i felt unable to settle. i stayed with it anyway.,cafe,15,4.0,2,2,night,overwhelmed,none,vague,not gonna lie i felt unable to settle. i stayed with it anyway. cafe night overwhelmed none vague,restless,3.41,Stay mindful,Flexible
10068,for a while i was mentally flooded. then my mind wandered again.,mountain,18,6.0,5,5,morning,overwhelmed,tired_face,conflicted,for a while i was mentally flooded. then my mind wandered again. mountain morning overwhelmed tired_face conflicted,overwhelmed,3.14,Stay mindful,Flexible
10069,after the session i felt steady but nothing major. then my mind wandered again. then it faded again. ...,ocean,5,6.0,5,2,evening,mixed,none,conflicted,after the session i felt steady but nothing major. then my mind wandered again. then it faded again. ... ocean evening mixed none conflicted,neutral,2.84,Stay mindful,Flexible
10070,lowkey felt all over teh place. ocean audio was nice. ...,mountain,5,8.5,3,4,evening,focused,happy_face,conflicted,lowkey felt all over teh place. ocean audio was nice. ... mountain evening focused happy_face conflicted,restless,2.57,Stay mindful,Flexible
10071,ended up somewhat settled but still uneasy. i had to restart once.,rain,15,4.0,1,4,morning,calm,tense_face,vague,ended up somewhat settled but still uneasy. i had to restart once. rain morning calm tense_face vague,mixed,3.58,Stay mindful,Flexible
10072,"lowkey felt okay overall, but forest sounds worked for a bit.",cafe,30,3.5,4,4,afternoon,,calm_face,conflicted,"lowkey felt okay overall, but forest sounds worked for a bit. cafe afternoon  calm_face conflicted",neutral,3.2,Stay mindful,Flexible
10073,by the end i was locked in for a bit. i kept thinking about emails.,forest,12,3.5,1,5,night,,tense_face,clear,by the end i was locked in for a bit. i kept thinking about emails. forest night  tense_face clear,restless,3.01,Stay mindful,Flexible
10074,started off calmer on the surface but still busy underneath. ocean audio was nice.,forest,10,8.0,5,5,afternoon,neutral,tired_face,conflicted,started off calmer on the surface but still busy underneath. ocean audio was nice. forest afternoon neutral tired_face conflicted,mixed,2.59,Stay mindful,Flexible
10075,started off kind of jumpy. i had to restart once.,ocean,18,7.0,3,4,morning,focused,,vague,started off kind of jumpy. i had to restart once. ocean morning focused  vague,restless,2.68,Stay mindful,Flexible
10076,lowkey felt calmer on teh surface but still busy underneath. tehn my mind wandered again. not sure why but it shifted.,rain,10,8.5,1,4,morning,restless,calm_face,conflicted,lowkey felt calmer on teh surface but still busy underneath. tehn my mind wandered again. not sure why but it shifted. rain morning restless calm_face conflicted,mixed,2.73,Stay mindful,Flexible
10077,by the end i was steady but nothing major. i had to restart once.,cafe,18,5.0,2,2,evening,restless,happy_face,vague,by the end i was steady but nothing major. i had to restart once. cafe evening restless happy_face vague,neutral,3.1,Stay mindful,Flexible
10078,"somehow i felt unable to stay with one thought, but my breathing slowed for a moment.",mountain,12,4.0,3,1,afternoon,restless,calm_face,conflicted,"somehow i felt unable to stay with one thought, but my breathing slowed for a moment. mountain afternoon restless calm_face conflicted",restless,2.88,Stay mindful,Flexible
10079,for a while i was distracted most of teh time. i kept thinking about emails.,forest,25,8.0,1,2,evening,calm,,clear,for a while i was distracted most of teh time. i kept thinking about emails. forest evening calm  clear,restless,3.66,Stay mindful,Flexible
10080,more clear today,ocean,12,5.0,5,2,night,neutral,neutral_face,vague,more clear today ocean night neutral neutral_face vague,focused,3.12,Stay mindful,Flexible
10081,kind of felt restless even after. i kept thinking about emails.,rain,7,4.0,2,5,night,overwhelmed,calm_face,conflicted,kind of felt restless even after. i kept thinking about emails. rain night overwhelmed calm_face conflicted,restless,3.16,Stay mindful,Flexible
10082,mind racing,rain,25,5.0,5,2,afternoon,neutral,,clear,mind racing rain afternoon neutral  clear,focused,2.39,Stay mindful,Flexible
10083,started off okay overall. ocean audio was nice.,rain,35,7.0,4,3,afternoon,restless,tired_face,conflicted,started off okay overall. ocean audio was nice. rain afternoon restless tired_face conflicted,neutral,3.27,Stay mindful,Flexible
10084,after the session i felt drained and behind. then my mind wandered again.,cafe,15,8.0,1,4,afternoon,overwhelmed,none,conflicted,after the session i felt drained and behind. then my mind wandered again. cafe afternoon overwhelmed none conflicted,overwhelmed,3.1,Stay mindful,Flexible
10085,fine i guess,ocean,25,5.0,2,2,evening,restless,calm_face,clear,fine i guess ocean evening restless calm_face clear,restless,2.79,Stay mindful,Flexible
10086,"kind of felt mostly the same, but i kept thinking about emails. ...",cafe,35,3.5,3,4,evening,overwhelmed,tired_face,vague,"kind of felt mostly the same, but i kept thinking about emails. ... cafe evening overwhelmed tired_face vague",neutral,2.97,Stay mindful,Flexible
10087,kind of felt calmer on the surface but still busy underneath. ocean audio was nice. after that i could continue. ...,forest,7,6.0,3,3,night,restless,none,conflicted,kind of felt calmer on the surface but still busy underneath. ocean audio was nice. after that i could continue. ... forest night restless none conflicted,mixed,2.92,Stay mindful,Flexible
10088,not gonna lie i felt okay overall. i stayed with it anyway.,ocean,7,8.5,5,2,morning,mixed,none,vague,not gonna lie i felt okay overall. i stayed with it anyway. ocean morning mixed none vague,neutral,3.12,Stay mindful,Flexible
10089,woke up feeling okay overall. my breathing slowed for a moment. ...,rain,12,8.0,1,3,evening,calm,happy_face,conflicted,woke up feeling okay overall. my breathing slowed for a moment. ... rain evening calm happy_face conflicted,calm,3.05,Stay mindful,Flexible
10090,kind of felt better but not fully okay. it took time to click.,rain,15,8.5,5,1,evening,overwhelmed,neutral_face,conflicted,kind of felt better but not fully okay. it took time to click. rain evening overwhelmed neutral_face conflicted,mixed,3.69,Stay mindful,Flexible
10091,after the session i felt steady but nothing major. it took time to click.,cafe,5,4.0,4,5,night,focused,none,vague,after the session i felt steady but nothing major. it took time to click. cafe night focused none vague,neutral,3.87,Stay mindful,Flexible
10092,started off like everything piled up. i had to restart once.,ocean,18,7.0,3,1,afternoon,restless,happy_face,clear,started off like everything piled up. i had to restart once. ocean afternoon restless happy_face clear,overwhelmed,3.15,Stay mindful,Flexible
10093,after the session i felt a little better and a little off. this was better than yesterday. that part surprised me.,cafe,30,6.0,1,1,evening,focused,calm_face,vague,after the session i felt a little better and a little off. this was better than yesterday. that part surprised me. cafe evening focused calm_face vague,mixed,3.16,Stay mindful,Flexible
10094,kinda calm,rain,18,5.0,1,5,morning,focused,tired_face,clear,kinda calm rain morning focused tired_face clear,focused,3.09,Stay mindful,Flexible
10095,after teh session i felt more tired than i expected. i couldn't tell if it was helping at first.,ocean,7,4.0,3,2,night,neutral,calm_face,clear,after teh session i felt more tired than i expected. i couldn't tell if it was helping at first. ocean night neutral calm_face clear,overwhelmed,3.06,Stay mindful,Flexible
10096,still off ...,ocean,7,8.0,2,3,afternoon,neutral,none,vague,still off ... ocean afternoon neutral none vague,overwhelmed,3.52,Stay mindful,Flexible
10097,started off in between. i kept thinking about emails.,mountain,35,7.0,4,2,evening,focused,happy_face,vague,started off in between. i kept thinking about emails. mountain evening focused happy_face vague,mixed,2.97,Stay mindful,Flexible
10098,started off heavy in teh chest. i stayed with it anyway. still not fully tehre though.,cafe,5,4.0,1,5,evening,restless,calm_face,vague,started off heavy in teh chest. i stayed with it anyway. still not fully tehre though. cafe evening restless calm_face vague,overwhelmed,3.11,Stay mindful,Flexible
10099,"started off half relaxed half distracted, but my breathing slowed for a moment. ...",mountain,18,8.0,2,4,morning,restless,happy_face,clear,"started off half relaxed half distracted, but my breathing slowed for a moment. ... mountain morning restless happy_face clear",mixed,3.2,Stay mindful,Flexible
10100,started off somewhat settled but still uneasy. i stayed with it anyway.,mountain,25,8.0,4,5,morning,focused,calm_face,clear,started off somewhat settled but still uneasy. i stayed with it anyway. mountain morning focused calm_face clear,mixed,2.95,Stay mindful,Flexible
10101,started off more settled. i stayed with it anyway. that part surprised me.,rain,20,3.5,1,2,evening,neutral,tense_face,clear,started off more settled. i stayed with it anyway. that part surprised me. rain evening neutral tense_face clear,neutral,2.99,Stay mindful,Flexible
10102,lowkey felt unable to come down from the day. the rain helped a little. not sure why but it shifted.,ocean,5,6.0,3,3,evening,focused,tired_face,conflicted,lowkey felt unable to come down from the day. the rain helped a little. not sure why but it shifted. ocean evening focused tired_face conflicted,overwhelmed,2.95,Stay mindful,Flexible
10103,kind of felt lighter than before. mountain visuals made it easier to pause.,ocean,5,6.0,1,5,afternoon,focused,,clear,kind of felt lighter than before. mountain visuals made it easier to pause. ocean afternoon focused  clear,calm,3.52,Stay mindful,Flexible
10104,not gonna lie i felt somewhat settled but still uneasy. forest sounds worked for a bit.,ocean,4,5.0,1,5,evening,mixed,calm_face,conflicted,not gonna lie i felt somewhat settled but still uneasy. forest sounds worked for a bit. ocean evening mixed calm_face conflicted,mixed,2.76,Stay mindful,Flexible
10105,ok session,cafe,15,4.0,1,1,morning,restless,none,clear,ok session cafe morning restless none clear,calm,3.45,Stay mindful,Flexible
10106,somehow i felt not very different. then my mind wandered again.,cafe,5,8.5,5,3,afternoon,neutral,,clear,somehow i felt not very different. then my mind wandered again. cafe afternoon neutral  clear,neutral,3.44,Stay mindful,Flexible
10107,hard to focus,forest,25,3.5,1,2,afternoon,overwhelmed,happy_face,conflicted,hard to focus forest afternoon overwhelmed happy_face conflicted,restless,2.96,Stay mindful,Flexible
10108,after the session i felt in between. sleep probably affected it.,cafe,7,6.0,1,1,morning,calm,tired_face,vague,after the session i felt in between. sleep probably affected it. cafe morning calm tired_face vague,mixed,3.57,Stay mindful,Flexible
10109,i noticed i was fine i guess. cafe ambience weirdly helped.,ocean,10,5.0,4,5,afternoon,,none,conflicted,i noticed i was fine i guess. cafe ambience weirdly helped. ocean afternoon  none conflicted,neutral,3.51,Stay mindful,Flexible
10110,ok session,mountain,15,8.5,2,5,night,calm,calm_face,vague,ok session mountain night calm calm_face vague,mixed,2.96,Stay mindful,Flexible
10111,today i was split between calm and tension. it took time to click.,rain,5,3.5,1,1,morning,,none,conflicted,today i was split between calm and tension. it took time to click. rain morning  none conflicted,mixed,3.96,Stay mindful,Flexible
10112,lowkey felt calmer on the surface but still busy underneath. forest sounds worked for a bit. then it faded again.,forest,5,3.5,2,2,afternoon,focused,neutral_face,vague,lowkey felt calmer on the surface but still busy underneath. forest sounds worked for a bit. then it faded again. forest afternoon focused neutral_face vague,mixed,2.72,Stay mindful,Flexible
10113,i noticed i was less tense. i was more tired than i thought.,mountain,18,3.5,1,4,morning,calm,neutral_face,vague,i noticed i was less tense. i was more tired than i thought. mountain morning calm neutral_face vague,calm,2.81,Stay mindful,Flexible
10114,by teh end i was pretty grounded. cafe ambience weirdly helped. ...,mountain,4,7.0,3,4,afternoon,calm,none,vague,by teh end i was pretty grounded. cafe ambience weirdly helped. ... mountain afternoon calm none vague,calm,2.89,Stay mindful,Flexible
10115,woke up feeling lighter than before. then my mind wandered again.,mountain,30,7.0,5,5,evening,restless,none,conflicted,woke up feeling lighter than before. then my mind wandered again. mountain evening restless none conflicted,calm,2.77,Stay mindful,Flexible
10116,ended up unable to come down from the day. then my mind wandered again.,rain,7,5.0,4,2,night,focused,none,conflicted,ended up unable to come down from the day. then my mind wandered again. rain night focused none conflicted,overwhelmed,2.47,Stay mindful,Flexible
10117,"somehow i felt pretty grounded, but it took time to click. ...",forest,5,7.0,1,3,afternoon,overwhelmed,tense_face,clear,"somehow i felt pretty grounded, but it took time to click. ... forest afternoon overwhelmed tense_face clear",neutral,3.89,Stay mindful,Flexible
10118,"started off ready to start work, but i stayed with it anyway.",rain,12,8.0,4,2,afternoon,calm,tired_face,vague,"started off ready to start work, but i stayed with it anyway. rain afternoon calm tired_face vague",focused,2.95,Stay mindful,Flexible
10119,somehow i felt somewhat settled but still uneasy. i kept thinking about emails.,forest,25,8.5,4,4,night,neutral,tired_face,conflicted,somehow i felt somewhat settled but still uneasy. i kept thinking about emails. forest night neutral tired_face conflicted,mixed,3.5,Stay mindful,Flexible
10120,by the end i was distracted most of the time. i couldn't tell if it was helping at first.,mountain,35,6.0,5,4,afternoon,neutral,happy_face,conflicted,by the end i was distracted most of the time. i couldn't tell if it was helping at first. mountain afternoon neutral happy_face conflicted,restless,3.34,Stay mindful,Flexible
